"filename", "language", "Markdown", "Shell Script", "YAML", "SQL", "Docker", "JSON", "JavaScript", "CSS", "HTML", "XML", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\build_backend.sh", "Shell Script", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 11
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\configs\authConfig.js", "JavaScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 2, 2, 21
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\configs\database-config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 0, 16
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\answers.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 21, 10, 63
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\departments.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 39, 12, 100
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\functions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 18, 10, 60
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\questions.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 71, 22, 206
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\subjects.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 46, 12, 113
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\users.controller.js", "JavaScript", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 53, 16, 148
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\middlewares\cors_handler.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 2, 17
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2170, 0, 0, 0, 0, 0, 1, 2171
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\package.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\admin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 3, 12
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\answers.js", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 8, 10, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\departments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 6, 10, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\questions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 8, 16, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\subjects.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 7, 10, 26
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\users.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 6, 11, 26
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\server.js", "JavaScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 7, 13, 34
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package-lock.json", "JSON", 0, 0, 0, 0, 0, 28942, 0, 0, 0, 0, 0, 1, 28943
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\package.json", "JSON", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 46
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\bme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1271, 0, 0, 1271
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 3, 33
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\components\header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 2, 2, 108
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\configs\authConfig.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 19, 5, 70
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 6, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\layout.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departmentDetails.js", "JavaScript", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 2, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 1, 8, 51
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\mainpage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjectDetails.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects.js", "JavaScript", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 4, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\userDetails.js", "JavaScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\users.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 3, 54
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\build_frontend.sh", "Shell Script", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 24
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\Dockerfile", "Docker", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package-lock.json", "JSON", 0, 0, 0, 0, 0, 30540, 0, 0, 0, 0, 0, 1, 30541
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\package.json", "JSON", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\bme.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1271, 0, 0, 1271
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 23, 1, 44
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.js", "JavaScript", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\header.js", "JavaScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 2, 3, 94
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\sidebar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 4, 71
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\configs\authConfig.js", "JavaScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 19, 5, 70
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 7, 6, 35
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\layout.js", "JavaScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 3, 37
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\askquestion.js", "JavaScript", 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 3, 112
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\departments.js", "JavaScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\login.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\mainpage.js", "JavaScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 3, 54
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\openquestion.js", "JavaScript", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 3, 99
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\questions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 3, 72
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\setupTests.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\config\db.sql", "SQL", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 88, 44, 216
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\docker-compose.yml", "YAML", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 77, 21, 45, 84, 21, 61817, 1634, 57, 40, 2543, 499, 401, 67239