"filename", "language", "JSON", "SQL", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\answers.controller.js", "JavaScript", 0, 0, 21, 0, 19, 2, 42
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\controllers\questions.controller.js", "JavaScript", 0, 0, 55, 0, 28, 4, 87
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\answers.js", "JavaScript", 0, 0, 2, 0, 0, 1, 3
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Backend\routes\questions.js", "JavaScript", 0, 0, 3, 0, 2, -2, 3
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\departments\departments.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\subjects\subjects.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\admin-portal\src\pages\users\users.js", "JavaScript", 0, 0, -1, 0, 0, 0, -1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\App.css", "CSS", 0, 0, 0, 10, 0, 2, 12
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\answer.api.js", "JavaScript", 0, 0, 25, 0, 0, 7, 32
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\question.api.js", "JavaScript", 0, 0, 49, 0, 0, 8, 57
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\question.js", "JavaScript", 0, 0, -9, 0, 0, -1, -10
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\api\user.api.js", "JavaScript", 0, 0, 8, 0, 0, 1, 9
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\components\header.js", "JavaScript", 0, 0, 17, 0, 0, 2, 19
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\adms.js", "JavaScript", 0, 0, -2, 0, -1, 0, -3
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\ask\edu.js", "JavaScript", 0, 0, -9, 0, -1, 2, -8
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\departments.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\login.js", "JavaScript", 0, 0, -3, 0, -1, 2, -2
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\logging\register.js", "JavaScript", 0, 0, 3, 0, 0, 0, 3
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\answer.js", "JavaScript", 0, 0, 101, 0, 0, 11, 112
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\openquestion.js", "JavaScript", 0, 0, 237, 0, 1, 3, 241
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\pages\questions\questions.js", "JavaScript", 0, 0, 136, 0, 4, 11, 151
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Frontend\user-portal\src\utils\functions.js", "JavaScript", 0, 0, 12, 0, 0, 2, 14
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\Local deployment\config\db.sql", "SQL", 0, 7, 0, 0, 0, 0, 7
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\package-lock.json", "JSON", 126, 0, 0, 0, 0, 1, 127
"c:\Users\yassi\OneDrive\Bureau\Thesis-project\package.json", "JSON", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 131, 7, 643, 10, 51, 58, 900